user_id,day,Age,Height,Weight,Bmi,BmiClass,Gender,TargetWeight,ActivityLevel,DaysToGoal,Achieved,GoalType,BMI,TargetBMI,BMR,TDEE,Calorie_Deficit,Calorie_Target,preferred_body_part,운동1,운동부위1,운동시간1,소모칼로리1,운동2,운동부위2,운동시간2,소모칼로리2,운동3,운동부위3,운동시간3,소모칼로리3,운동4,운동부위4,운동시간4,소모칼로리4,총 운동시간,하루소모칼로리,breakfast_food_name,breakfast_portion,breakfast_carb,breakfast_protein,breakfast_fat,breakfast_calories,lunch_food_name,lunch_portion,lunch_carb,lunch_protein,lunch_fat,lunch_calories,snack_food_name,snack_portion,snack_carb,snack_protein,snack_fat,snack_calories,dinner_food_name,dinner_portion,dinner_carb,dinner_protein,dinner_fat,dinner_calories,총 식사섭취 칼로리
1,1,61,1.85,109.3,31.9357195032871,Obese Class 1,Male,72.0,1,1492,1,저지방 고단백,31.935719503287068,21.0372534696859,1949.25,1949.25,750,1199.25,하체,해머 스트렝스 런지,하체,30,198.0,힙 쓰러스트,하체,30,201.0,라잉 허벅지 스트레칭,하체,30,93.0,케이블 스쿼트,하체,30,177.0,120,669.0,콩조림(콩자반),124.86,43.49,22.44,9.65,350.86,소보로빵,155.05,93.37,13.99,20.54,614.01,피자_베이컨체더 피자 슈퍼시드 화이버 엣지 오리지널 (M),80.97,20.86,12.7,6.53,263.15,허니브레드_갈릭 버터 브레드,144.19,76.61,15.02,18.02,526.3,1754.32
1,2,61,1.85,109.3,31.9357195032871,Obese Class 1,Male,72.0,1,1492,1,저지방 고단백,31.935719503287068,21.0372534696859,1949.25,1949.25,750,1199.25,등,시티드 백 스퀴즈,등,30,99.0,해머 스트렝스 MTS 하이 로우,등,30,195.0,펄스 로우,등,30,162.0,원 암 케틀벨 로우,등,30,174.0,120,630.0,콩조림(콩자반),124.86,43.49,22.44,9.65,350.86,소보로빵,155.05,93.37,13.99,20.54,614.01,잔멸치볶음,79.74,21.87,27.89,7.15,263.15,피자_치즈 피자 오리지널 (M),168.15,73.33,38.99,26.7,526.3,1754.32
1,3,61,1.85,109.3,31.9357195032871,Obese Class 1,Male,72.0,1,1492,1,저지방 고단백,31.935719503287068,21.0372534696859,1949.25,1949.25,750,1199.25,어깨,시티드 케이블 프론트 프레스,어깨,30,165.0,덤벨 푸쉬 저크,어깨,30,180.0,밴드 프론트 레이즈,어깨,30,156.0,물구나무 푸쉬업,어깨,30,180.0,120,681.0,오징어채무침,135.99,38.64,32.09,7.52,350.86,피자_고르곤졸라 피자 (L),172.96,94.7,38.41,38.88,614.01,오징어채볶음,95.69,28.49,21.09,7.24,263.15,피자_치즈바이트 피자 (L),95.86,54.23,28.57,21.71,526.3,1754.32
1,4,61,1.85,109.3,31.9357195032871,Obese Class 1,Male,72.0,1,1492,1,저지방 고단백,31.935719503287068,21.0372534696859,1949.25,1949.25,750,1199.25,가슴,다이아몬드 푸쉬업,가슴,30,171.0,펙덱 플라이,가슴,30,162.0,바벨 풀오버,가슴,30,171.0,해머 스트렝스 벤치 프레스,가슴,30,168.0,120,672.0,뱅어포구이,93.81,23.52,32.24,14.23,350.86,소보로빵,155.05,93.37,13.99,20.54,614.01,오징어채조림,109.65,27.81,25.79,5.37,263.15,피자_고르곤졸라 피자 (L),148.25,81.17,32.93,33.33,526.3,1754.32
1,5,61,1.85,109.3,31.9357195032871,Obese Class 1,Male,72.0,1,1492,1,저지방 고단백,31.935719503287068,21.0372534696859,1949.25,1949.25,750,1199.25,등,덤벨 실로우,등,30,174.0,원 암 랫 풀다운 머신,등,30,174.0,어시스트 친 업,등,30,168.0,해머 스트렝스 MTS 원 암 D Y 로우,등,30,195.0,120,711.0,피자_핫치킨 피자 (L),116.57,42.03,20.33,11.25,350.86,소보로빵,155.05,93.37,13.99,20.54,614.01,오징어채조림,109.65,27.81,25.79,5.37,263.15,피자_고르곤졸라 피자 (L),148.25,81.17,32.93,33.33,526.3,1754.32
1,6,61,1.85,109.3,31.9357195032871,Obese Class 1,Male,72.0,1,1492,1,저지방 고단백,31.935719503287068,21.0372534696859,1949.25,1949.25,750,1199.25,,니 쓰러스트,유산소,30,245.99999999999997,기타 스포츠,스포츠,30,120.0,점핑,스포츠,30,174.0,웜업 싸이클,유산소,30,180.0,120,720.0,뱅어포구이,93.81,23.52,32.24,14.23,350.86,피자_치즈바이트 피자 (L),111.84,63.27,33.33,25.33,614.01,피자_베이컨체더 피자 슈퍼시드 화이버 엣지 오리지널 (L),85.72,22.4,13.13,7.11,263.15,피자_고르곤졸라 피자 (L),148.25,81.17,32.93,33.33,526.3,1754.32
1,7,61,1.85,109.3,31.9357195032871,Obese Class 1,Male,72.0,1,1492,1,저지방 고단백,31.935719503287068,21.0372534696859,1949.25,1949.25,750,1199.25,어깨,프론트 스쿱스,어깨,30,111.0,엘보우 터치 앤 프레스업,어깨,30,162.0,숄더 투 숄더 프레스,어깨,30,165.0,바벨 푸쉬 저크,어깨,30,186.0,120,624.0,피자_핫치킨 피자 (L),116.57,42.03,20.33,11.25,350.86,피자_치즈크러스트 피자 (L),106.97,50.09,41.63,27.43,614.01,피자_블랙타이거 슈림프 피자 슈퍼시드 화이버 엣지 오리지널 (M),88.01,23.88,13.22,5.26,263.15,피자_치즈바이트 피자 (L),95.86,54.23,28.57,21.71,526.3,1754.32
2,1,60,1.71,79.02,27.0236995998769,Overweight,Male,59.3,1,789,1,저지방 고단백,27.02369959987689,20.27974419479498,1563.9499999999998,1563.9499999999998,500,1063.9499999999998,가슴,인클라인 케이블 플라이,가슴,30,165.0,디클라인 덤벨 벤치 프레스,가슴,30,168.0,코브라 푸쉬업,가슴,30,165.0,펙덱 플라이,가슴,30,162.0,120,660.0,피자_블랙타이거 슈림프 피자 슈퍼시드 화이버 엣지 오리지널 (M),94.15,25.54,14.14,5.63,281.51,피자_골드핫치킨 피자 (L),132.79,53.93,27.67,18.43,492.64,샌드위치_그릭치킨 샌드위치,114.75,25.5,14.02,5.74,211.13,피자_치즈 피자 오리지널 (M),134.91,58.83,31.29,21.42,422.27,1407.55
2,2,60,1.71,79.02,27.0236995998769,Overweight,Male,59.3,1,789,1,저지방 고단백,27.02369959987689,20.27974419479498,1563.9499999999998,1563.9499999999998,500,1063.9499999999998,하체,니 힙 쓰러스트,하체,30,180.0,덤벨 레터럴 스텝업,하체,30,192.0,스미스 머신 스태거드 데드리프트,하체,30,204.0,스미스 머신 스플릿 스쿼트,하체,30,204.0,120,780.0,피자_불고기 피자 (L),111.71,29.16,16.52,7.23,281.51,피자_치즈 피자 오리지널 (M),157.39,68.64,36.5,24.99,492.64,샌드위치_그릭치킨 샌드위치,114.75,25.5,14.02,5.74,211.13,뱅어포구이,112.91,28.31,38.81,17.13,422.27,1407.55
2,3,60,1.71,79.02,27.0236995998769,Overweight,Male,59.3,1,789,1,저지방 고단백,27.02369959987689,20.27974419479498,1563.9499999999998,1563.9499999999998,500,1063.9499999999998,등,동적 등 스트레칭,등,30,105.0,해머 스트렝스 원 암 하이 로우,등,30,186.0,슈퍼맨 로우,등,30,129.0,바벨 실로우,등,30,177.0,120,597.0,피자_크랩&립하우스 피자 슈퍼시드 화이버 엣지 오리지널 (M),85.31,24.29,12.42,6.93,281.51,잔멸치볶음,149.29,40.95,52.21,13.39,492.64,홍합산적,107.72,14.24,23.95,6.46,211.13,피자_핫치킨 피자 (L),140.29,50.59,24.47,13.54,422.27,1407.55
