Age,Height,Weight,Bmi,BmiClass,Gender,TargetWeight,ActivityLevel,DaysToGoal,Achieved,GoalType,BMI,TargetBMI,BMR,TDEE,Calorie_Target,user_id,day,preferred_body_part,운동1,운동부위1,운동시간1,소모칼로리1,운동2,운동부위2,운동시간2,소모칼로리2,운동3,운동부위3,운동시간3,소모칼로리3,운동4,운동부위4,운동시간4,소모칼로리4,총 운동시간,하루소모칼로리,breakfast_food_name,breakfast_portion,breakfast_carb,breakfast_protein,breakfast_fat,breakfast_calories,lunch_food_name,lunch_portion,lunch_carb,lunch_protein,lunch_fat,lunch_calories,snack_food_name,snack_portion,snack_carb,snack_protein,snack_fat,snack_calories,dinner_food_name,dinner_portion,dinner_carb,dinner_protein,dinner_fat,dinner_calories,총 식사섭취 칼로리,일일칼로리균형,일일체중변화(kg)
61,1.85,109.3,31.9357195032871,Obese Class 1,Male,72.0,1,454,1,저지방 고단백,31.935719503287068,21.0372534696859,1949.25,1949.25,1559.4,1,1,어깨,원 암 숄더 프레스 머신,어깨,30,165.0,덤벨 큐반 프레스,어깨,30,159.0,인클라인 덤벨 리어 레터럴 레이즈,어깨,30,165.0,이지바 업라이트로우,어깨,30,168.0,120,657.0,피자_골드핫치킨 피자 (L),94.57,38.41,19.71,13.13,350.86,도넛_미니찹쌀 도넛 (3개입),155.45,112.51,7.4,14.8,614.01,피자_치즈 피자 오리지널 (L),101.21,34.26,13.47,6.4,263.15,매작과,127.43,84.25,9.57,16.76,526.3,1754.32,-851.9300000000001,-0.11064025974025975
61,1.85,109.3,31.9357195032871,Obese Class 1,Male,72.0,1,454,1,저지방 고단백,31.935719503287068,21.0372534696859,1949.25,1949.25,1559.4,1,2,하체,바벨 닐링 스쿼트,하체,30,186.0,덤벨 스쿼트 투 오버헤드 프레스,하체,30,207.0,스모 데드리프트,하체,30,216.0,원 레그 데드리프트,하체,30,204.0,120,813.0,피자_치즈 피자 오리지널 (M),112.1,48.89,26.0,17.8,350.86,피자_치즈바이트 피자 (L),111.84,63.27,33.33,25.33,614.01,피자_치즈 피자 오리지널 (L),101.21,34.26,13.47,6.4,263.15,피자_치즈크러스트 피자 (L),91.69,42.94,35.69,23.51,526.3,1754.32,-1007.9300000000001,-0.13090000000000002
61,1.85,109.3,31.9357195032871,Obese Class 1,Male,72.0,1,454,1,저지방 고단백,31.935719503287068,21.0372534696859,1949.25,1949.25,1559.4,1,3,하체,스탠딩 레그 컬,하체,30,162.0,스탠딩 사이드킥,하체,30,99.0,덤벨 백 런지,하체,30,180.0,스미스 머신 런지,하체,30,198.0,120,639.0,피자_골드베이컨 피자 (L),92.82,41.76,15.92,13.37,350.87,피자_아메리칸 미트볼 피자,126.08,69.92,33.94,21.82,614.01,피자_치즈 피자 오리지널 (L),101.21,34.26,13.47,6.4,263.15,피자_치즈바이트 피자 (L),95.86,54.23,28.57,21.71,526.3,1754.33,-833.9200000000001,-0.1083012987012987
61,1.85,109.3,31.9357195032871,Obese Class 1,Male,72.0,1,454,1,저지방 고단백,31.935719503287068,21.0372534696859,1949.25,1949.25,1559.4,1,4,가슴,스탠딩 디클라인 플라이 머신,가슴,30,165.0,체스트 프레스 머신,가슴,30,171.0,덤벨 풀오버,가슴,30,165.0,닐링 숄더탭 푸쉬업,가슴,30,141.0,120,642.0,피자_복성로 불고기 피자,89.74,37.37,18.23,14.36,350.86,매작과,148.67,98.29,11.17,19.55,614.01,피자_스테이크 피자 (L),91.69,28.4,16.34,9.35,263.15,깨찰빵_쫀득쫀득한찰깨빵 (2개입),141.1,89.8,5.14,17.96,526.3,1754.32,-836.9300000000001,-0.1086922077922078
61,1.85,109.3,31.9357195032871,Obese Class 1,Male,72.0,1,454,1,저지방 고단백,31.935719503287068,21.0372534696859,1949.25,1949.25,1559.4,1,5,하체,바벨 스쿼트,하체,30,225.0,라잉 햄스트링 스트레칭,하체,30,96.0,피스톨 스쿼트,하체,30,216.0,원 레그 스미스 머신 스쿼트,하체,30,204.0,120,741.0,피자_골드베이컨 피자 (L),92.82,41.76,15.92,13.37,350.87,다식_송화,166.4,123.09,13.81,7.45,614.01,피자_치즈피자,95.0,33.82,14.91,7.5,263.15,츄러스_톡톡 슈팅스타 링츄,138.5,83.45,10.0,16.83,526.3,1754.33,-935.9200000000001,-0.12154805194805196
61,1.85,109.3,31.9357195032871,Obese Class 1,Male,72.0,1,454,1,저지방 고단백,31.935719503287068,21.0372534696859,1949.25,1949.25,1559.4,1,6,,강아지 산책,스포츠,30,105.0,포고 홉,스포츠,30,165.0,뎁스 점프,하체,30,192.0,볼링,스포츠,30,120.0,120,582.0,피자_치즈 피자 오리지널 (M),112.1,48.89,26.0,17.8,350.86,도넛_미니찹쌀 도넛 (3개입),155.45,112.51,7.4,14.8,614.01,프레즐_콘 프레즐,108.74,35.02,14.11,7.32,263.15,츄러스_흑임자 링츄,127.12,79.49,8.85,18.46,526.3,1754.32,-776.9300000000001,-0.1009
61,1.85,109.3,31.9357195032871,Obese Class 1,Male,72.0,1,454,1,저지방 고단백,31.935719503287068,21.0372534696859,1949.25,1949.25,1559.4,1,7,,포고 홉,스포츠,30,165.0,싸이클,유산소,30,240.0,제이콥스 래더,유산소,30,285.0,댄스,스포츠,30,165.0,120,855.0,피자_골드베이컨 피자 (L),92.82,41.76,15.92,13.37,350.87,비스킷/쿠키/크래커_약과 쿠키,135.84,106.58,6.28,16.72,614.01,오징어채무침,102.0,28.98,24.07,5.64,263.15,츄러스_흑임자 링츄,127.12,79.49,8.85,18.46,526.3,1754.33,-1049.92,-0.13635324675324675
60,1.71,79.02,27.0236995998769,Overweight,Male,59.3,1,238,1,저지방 고단백,27.02369959987689,20.27974419479498,1563.9499999999998,1563.9499999999998,1251.1599999999999,2,1,등,라잉 백 익스텐션,등,30,120.0,핸드 릴리즈 푸시업,등,30,144.0,덤벨 백 익스텐션,등,30,126.0,동적 등 스트레칭,등,30,105.0,120,495.0,피자_페퍼로니피자,105.83,37.2,15.56,7.83,281.51,소보로빵,124.41,74.92,11.22,16.48,492.64,피자_불고기 피자 (L),83.78,21.87,12.39,5.42,211.13,모닝빵,134.48,70.16,12.78,9.99,422.27,1407.55,-651.3999999999999,-0.08459740259740257
60,1.71,79.02,27.0236995998769,Overweight,Male,59.3,1,238,1,저지방 고단백,27.02369959987689,20.27974419479498,1563.9499999999998,1563.9499999999998,1251.1599999999999,2,2,가슴,비하인드 암 가슴 스트레칭,가슴,30,105.0,컨버징 체스트 프레스 머신,가슴,30,171.0,인클라인 클로즈 그립 덤벨 벤치 프레스,가슴,30,171.0,얼터네이트 덤벨 벤치 프레스,가슴,30,171.0,120,618.0,오징어채볶음,102.37,30.47,22.56,7.75,281.51,도넛_허니찹쌀스틱,138.77,85.62,5.91,14.17,492.64,피자_치즈 피자 슈퍼시드 화이버 엣지 오리지널 (L),70.14,19.86,10.02,4.17,211.13,베이글_깜빠뉴 베이글,128.74,67.88,14.05,10.53,422.27,1407.55,-774.3999999999999,-0.10057142857142855
60,1.71,79.02,27.0236995998769,Overweight,Male,59.3,1,238,1,저지방 고단백,27.02369959987689,20.27974419479498,1563.9499999999998,1563.9499999999998,1251.1599999999999,2,3,어깨,어라운드 더 월드,어깨,30,114.0,슬레드 풀,어깨,30,180.0,스탠딩 레터럴 레이즈 머신,어깨,30,162.0,해머스트렝스 숄더 프레스,어깨,30,177.0,120,633.0,피자_페퍼로니피자,105.83,37.2,15.56,7.83,281.51,츄러스_레인보우 초코 링츄,133.15,79.08,8.93,15.43,492.64,피자_페퍼로니 피자 슈퍼시드 화이버 엣지 오리지널 (M),63.4,16.79,10.01,5.1,211.13,바게트_마늘모닝바게뜨,130.33,67.64,11.17,11.17,422.27,1407.55,-789.3999999999999,-0.1025194805194805
