Age,Height,Weight,Bmi,BmiClass,Gender,TargetWeight,ActivityLevel,DaysToGoal,Achieved,GoalType
61,1.85,109.3,31.9357195032871,Obese Class 1,Male,72.0,1,454,1,저지방 고단백
60,1.71,79.02,27.0236995998769,Overweight,Male,59.3,1,238,1,저지방 고단백
60,1.55,74.7,31.0926118626431,Obese Class 1,Female,44.2,4,329,0,저지방 고단백
60,1.46,35.9,16.841808969788,Underweight,Female,53.3,1,124,0,벌크업
60,1.58,97.1,38.8960102547669,Obese Class 2,Female,69.1,1,295,0,저지방 고단백
59,1.71,79.32,27.1262952703396,Overweight,Male,50.2,2,315,0,저지방 고단백
59,1.7,73.32,25.3702422145329,Overweight,Male,79.2,4,57,1,벌크업
59,1.72,85.32,28.8399134667388,Overweight,Male,74.9,4,108,1,저지방 고단백
59,1.46,36.0,16.8887220866954,Underweight,Female,35.2,3,14,1,저지방 고단백
59,1.83,104.7,31.2639971333871,Obese Class 1,Male,80.7,1,222,1,저지방 고단백
58,1.71,79.31,27.1228754146575,Overweight,Male,82.0,1,14,1,벌크업
58,1.7,73.41,25.401384083045,Overweight,Male,68.5,1,18,1,저지방 고단백
58,1.72,85.21,28.8027312060573,Overweight,Male,65.3,3,185,1,저지방 고단백
58,1.47,36.0,16.6597251145356,Underweight,Female,54.7,2,164,0,벌크업
57,1.71,79.3,27.1194555589754,Overweight,Male,70.4,2,32,1,저지방 고단백
57,1.7,73.5,25.4325259515571,Overweight,Male,80.9,1,38,0,벌크업
57,1.72,85.1,28.7655489453759,Overweight,Male,83.2,3,14,0,저지방 고단백
57,1.75,110.0,35.9183673469388,Obese Class 2,Male,80.4,1,338,0,저지방 고단백
57,1.58,79.7,31.9259734016984,Obese Class 1,Female,44.3,3,471,0,저지방 고단백
57,1.47,36.0,16.6597251145356,Underweight,Female,54.1,2,197,1,벌크업
57,1.6,99.1,38.7109375,Obese Class 2,Female,64.2,3,289,0,저지방 고단백
56,1.71,79.29,27.1160357032933,Overweight,Male,53.9,3,372,1,저지방 고단백
56,1.7,73.59,25.4636678200692,Overweight,Male,62.2,2,115,0,저지방 고단백
56,1.72,84.99,28.7283666846944,Overweight,Male,88.0,1,23,0,벌크업
56,1.59,75.8,29.9829911791464,Overweight,Female,46.1,3,338,0,저지방 고단백
56,1.47,36.1,16.7060021287427,Underweight,Female,55.9,2,121,1,벌크업
56,1.8,98.5,30.4012345679012,Obese Class 1,Male,54.4,2,418,1,저지방 고단백
56,1.59,98.0,38.764289387286894,Obese Class 2,Female,44.4,4,450,1,저지방 고단백
55,1.72,79.28,26.7982693347756,Overweight,Male,75.3,3,19,0,저지방 고단백
55,1.71,73.68,25.1974966656407,Overweight,Male,52.1,4,155,1,저지방 고단백
55,1.73,84.88,28.360453072271,Overweight,Male,50.9,4,384,0,저지방 고단백
55,1.72,95.0,32.1119524067063,Obese Class 1,Male,59.7,1,484,1,저지방 고단백
55,1.7,160.0,55.363321799308,Obese Class 3,Male,71.5,2,440,1,저지방 고단백
55,1.48,36.1,16.4810080350621,Underweight,Female,38.8,3,13,0,벌크업
