Age,Height,Weight,Bmi,BmiClass,Gender,TargetWeight,ActivityLevel,DaysToGoal,Achieved,GoalType
61,1.85,109.3,31.9357195032871,Obese Class 1,Male,72.0,1,106,1,저지방 고단백
60,1.71,79.02,27.0236995998769,Overweight,Male,59.3,1,39,1,저지방 고단백
60,1.55,74.7,31.0926118626431,Obese Class 1,Female,44.2,4,83,0,저지방 고단백
60,1.46,35.9,16.841808969788,Underweight,Female,53.3,1,77,0,벌크업
60,1.58,97.1,38.8960102547669,Obese Class 2,Female,69.1,1,138,0,저지방 고단백
59,1.71,79.32,27.1262952703396,Overweight,Male,50.2,2,129,0,저지방 고단백
59,1.7,73.32,25.3702422145329,Overweight,Male,79.2,4,57,1,벌크업
59,1.72,85.32,28.8399134667388,Overweight,Male,74.9,4,30,1,저지방 고단백
59,1.46,36.0,16.8887220866954,Underweight,Female,35.2,3,30,1,저지방 고단백
59,1.83,104.7,31.2639971333871,Obese Class 1,Male,80.7,1,102,1,저지방 고단백
58,1.71,79.31,27.1228754146575,Overweight,Male,82.0,1,30,1,벌크업
58,1.7,73.41,25.401384083045,Overweight,Male,68.5,1,30,1,저지방 고단백
58,1.72,85.21,28.8027312060573,Overweight,Male,65.3,3,91,1,저지방 고단백
58,1.47,36.0,16.6597251145356,Underweight,Female,54.7,2,77,0,벌크업
57,1.71,79.3,27.1194555589754,Overweight,Male,70.4,2,30,1,저지방 고단백
57,1.7,73.5,25.4325259515571,Overweight,Male,80.9,1,30,0,벌크업
57,1.72,85.1,28.7655489453759,Overweight,Male,83.2,3,30,0,저지방 고단백
57,1.75,110.0,35.9183673469388,Obese Class 2,Male,80.4,1,106,0,저지방 고단백
57,1.58,79.7,31.9259734016984,Obese Class 1,Female,44.3,3,74,0,저지방 고단백
57,1.47,36.0,16.6597251145356,Underweight,Female,54.1,2,104,1,벌크업
57,1.6,99.1,38.7109375,Obese Class 2,Female,64.2,3,96,0,저지방 고단백
56,1.71,79.29,27.1160357032933,Overweight,Male,53.9,3,63,1,저지방 고단백
56,1.7,73.59,25.4636678200692,Overweight,Male,62.2,2,30,0,저지방 고단백
56,1.72,84.99,28.7283666846944,Overweight,Male,88.0,1,30,0,벌크업
56,1.59,75.8,29.9829911791464,Overweight,Female,46.1,3,125,0,저지방 고단백
56,1.47,36.1,16.7060021287427,Underweight,Female,55.9,2,150,1,벌크업
56,1.8,98.5,30.4012345679012,Obese Class 1,Male,54.4,2,152,1,저지방 고단백
56,1.59,98.0,38.764289387286894,Obese Class 2,Female,44.4,4,129,1,저지방 고단백
55,1.72,79.28,26.7982693347756,Overweight,Male,75.3,3,30,0,저지방 고단백
55,1.71,73.68,25.1974966656407,Overweight,Male,52.1,4,59,1,저지방 고단백
55,1.73,84.88,28.360453072271,Overweight,Male,50.9,4,135,0,저지방 고단백
55,1.72,95.0,32.1119524067063,Obese Class 1,Male,59.7,1,73,1,저지방 고단백
55,1.7,160.0,55.363321799308,Obese Class 3,Male,71.5,2,180,1,저지방 고단백
55,1.48,36.1,16.4810080350621,Underweight,Female,38.8,3,30,0,벌크업
54,1.72,79.32,26.8117901568415,Overweight,Male,49.1,3,147,0,저지방 고단백
54,1.71,73.82,25.24537464519,Overweight,Male,72.3,2,30,1,저지방 고단백
54,1.61,78.1,30.1300104162648,Obese Class 1,Female,62.2,4,73,0,저지방 고단백
54,1.48,36.2,16.5266617969321,Underweight,Female,38.0,1,30,1,벌크업
54,1.61,100.3,38.694494811157,Obese Class 2,Female,46.2,4,180,0,저지방 고단백
53,1.72,79.31,26.808409951325,Overweight,Male,62.0,2,37,0,저지방 고단백
53,1.62,76.3,29.0733119951227,Overweight,Female,55.2,3,44,0,저지방 고단백
53,1.49,36.2,16.3055718210891,Underweight,Female,63.3,1,150,0,벌크업
53,1.62,101.7,38.7517146776406,Obese Class 2,Female,44.2,3,173,0,저지방 고단백
52,1.72,79.3,26.8050297458085,Overweight,Male,51.3,3,73,1,저지방 고단백
52,1.71,74.0,25.3069320474676,Overweight,Male,58.8,1,69,0,저지방 고단백
52,1.6,73.0,28.515625,Overweight,Female,46.8,1,71,1,저지방 고단백
52,1.49,36.3,16.3506148371695,Underweight,Female,53.5,2,57,0,벌크업
52,1.64,105.1,39.0764425936942,Obese Class 2,Female,62.1,1,87,1,저지방 고단백
51,1.72,79.29,26.8016495402921,Overweight,Male,70.7,3,30,1,저지방 고단백
51,1.71,74.09,25.3377107486064,Overweight,Male,76.9,4,30,1,벌크업
51,1.63,70.2,26.4217697316421,Overweight,Female,46.1,4,68,1,저지방 고단백
51,1.5,36.4,16.1777777777778,Underweight,Female,38.0,4,30,1,벌크업
51,1.75,91.2,29.7795918367347,Overweight,Male,53.7,1,95,0,저지방 고단백
51,1.7,107.3,37.1280276816609,Obese Class 2,Male,74.4,1,128,1,저지방 고단백
50,1.73,79.28,26.489358147616,Overweight,Male,83.8,3,34,1,벌크업
50,1.72,74.18,25.0743645213629,Overweight,Male,87.4,2,48,1,벌크업
50,1.74,84.38,27.8702602721628,Overweight,Male,81.1,2,30,1,저지방 고단백
50,1.8,135.0,41.6666666666667,Obese Class 3,Male,57.2,4,180,0,저지방 고단백
50,1.62,46.0,17.5278158817253,Underweight,Female,51.2,2,30,0,벌크업
50,1.63,72.5,27.2874402499153,Overweight,Female,53.7,4,38,1,저지방 고단백
50,1.5,36.5,16.2222222222222,Underweight,Female,62.8,2,150,1,벌크업
50,1.84,106.9,31.5749054820416,Obese Class 1,Male,59.4,4,180,0,저지방 고단백
50,1.66,110.5,40.100159674844,Obese Class 3,Female,81.6,1,81,1,저지방 고단백
49,1.73,79.02,26.402485883257,Overweight,Male,86.6,3,30,0,벌크업
49,1.72,74.02,25.020281233099,Overweight,Male,70.3,3,30,0,저지방 고단백
49,1.74,84.02,27.7513542079535,Overweight,Male,63.3,4,56,1,저지방 고단백
49,1.6,75.0,29.296875,Overweight,Female,55.2,1,71,1,저지방 고단백
49,1.6,44.0,17.1875,Underweight,Female,76.1,2,150,1,벌크업
49,1.64,77.9,28.9634146341464,Overweight,Female,55.8,4,53,0,저지방 고단백
49,1.51,36.6,16.0519275470374,Underweight,Female,39.2,3,30,0,벌크업
49,1.63,103.2,38.8422597764312,Obese Class 2,Female,44.7,2,127,0,저지방 고단백
48,1.74,79.01,26.0965781477078,Overweight,Male,56.5,3,71,1,저지방 고단백
48,1.73,74.11,24.761936583247,Normal Weight,Male,73.3,2,30,0,저지방 고단백
48,1.75,83.91,27.3991836734694,Overweight,Male,52.0,2,77,0,저지방 고단백
48,1.63,100.0,37.6378486205729,Obese Class 2,Female,76.8,3,91,0,저지방 고단백
48,1.58,42.0,16.8242268867169,Underweight,Female,55.9,3,103,0,벌크업
48,1.68,79.5,28.1675170068027,Overweight,Female,52.1,1,88,0,저지방 고단백
48,1.51,36.7,16.0957852725758,Underweight,Female,53.0,2,77,1,벌크업
48,1.69,110.9,38.8291726480165,Obese Class 2,Female,49.3,3,180,1,저지방 고단백
47,1.74,79.0,26.0932752014797,Overweight,Male,80.9,2,30,1,벌크업
47,1.73,74.2,24.792007751679,Normal Weight,Male,84.8,2,43,1,벌크업
47,1.75,83.8,27.3632653061224,Overweight,Male,62.8,4,65,0,저지방 고단백
47,1.55,40.0,16.6493236212279,Underweight,Female,58.9,1,150,1,벌크업
47,1.65,75.3,27.6584022038568,Overweight,Female,49.8,3,106,1,저지방 고단백
47,1.52,36.8,15.9279778393352,Underweight,Female,41.0,2,30,0,벌크업
47,1.82,99.7,30.0990218572636,Obese Class 1,Male,70.9,2,70,0,저지방 고단백
47,1.75,112.2,36.6367346938776,Obese Class 2,Male,52.2,1,133,0,저지방 고단백
46,1.74,78.99,26.0899722552517,Overweight,Male,74.6,1,30,1,저지방 고단백
46,1.73,74.29,24.8220789201109,Normal Weight,Male,50.4,2,55,1,저지방 고단백
46,1.75,83.69,27.3273469387755,Overweight,Male,56.1,2,82,0,저지방 고단백
46,1.86,70.0,20.2335530119089,Normal Weight,Male,99.9,2,150,1,벌크업
46,1.73,77.0,25.7275552140065,Overweight,Male,51.8,4,52,0,저지방 고단백
46,1.52,36.9,15.9712603878116,Underweight,Female,42.0,3,30,0,벌크업
46,1.74,111.2,36.7287620557537,Obese Class 2,Male,54.0,2,180,0,저지방 고단백
45,1.74,78.98,26.0866693090236,Overweight,Male,54.4,2,69,1,저지방 고단백
45,1.73,74.38,24.8521500885429,Normal Weight,Male,85.6,4,42,0,벌크업
